,cDLBCL_2,cDLBCL_3,cDLBCL_4,cDLBCL_5,cDLBCL_6,cDLBCL_7,cDLBCL_8,cDLBCL_9,cDLBCL_11,cDLBCL_12,cDLBCL_13,cDLBCL_14,cDLBCL_15,cDLBCL_16,cDLBCL_17,cDLBCL_18,cDLBCL_19,cDLBCL_20,cDLBCL_21,cDLBCL_22,cDLBCL_23,cDLBCL_24,cDLBCL_25,cDLBCL_26,cDLBCL_27,cDLBCL_28,cDLBCL_29,cDLBCL_30,cDLBCL_31,cDLBCL_32,cDLBCL_33,cDLBCL_34,cDLBCL_35,cDLBCL_36,cDLBCL_37,cDLBCL_38,cDLBCL_39,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,Ctrl_5,Ctrl_7,Ctrl_8
GT_CpG_17:chr12:14688070-14688472_234845,0.534896027,0.046188171,0.448884009,-1.51146325,-1.427832117,-0.416924365,0.741093553,-2.252573471,-0.199141202,-0.78082475,0.532053764,-1.480759111,0.995109467,-2.353980741,1.17860682,0.755512941,-0.048072613,0.929883693,1.579004173,0.296887176,0.66067861,-1.268560335,-0.572398299,-1.34216059,-0.547057679,0.213153408,0.44898721,0.25435084,0.971823498,-0.97183291,-1.187442991,-2.057781585,-1.679970666,-0.307191485,-0.469987824,1.017735776,0.439499189,-1.571130889,-1.597264715,-1.514103658,-1.958699049,-1.491237124,-2.321547685,-1.938048857
GT_CpG_17:chr14:1105111-1105512_235180,-1.311815758,-0.858833492,-1.544243909,-0.222810631,-1.324444731,-0.695560658,-1.312729075,-1.5674647,-1.424504628,-1.888619661,-0.555103266,-1.737462128,-1.174415092,-1.087847008,-1.039238381,-1.335919002,-0.123982083,-0.796854957,-1.784098731,-1.114579462,-1.287075983,-1.091107897,-0.892901172,-0.582592101,-1.442690004,-1.409510469,-0.708296371,-1.195367161,-1.033782043,-1.683176029,-0.724289149,-1.16528199,-0.453693919,-0.984302803,-0.664846713,-1.088246111,-0.660378086,0.590323999,-0.263326513,0.514418761,-0.04060504,0.57699916,0.456802566,0.193659758
GT_CpG_17:chr14:13785873-13786305_235188,1.457894566,1.497141273,1.446034214,0.658506162,0.509838911,0.495066792,0.960329458,0.547102892,0.195817472,0.533052488,0.673776488,-0.233911254,-0.483628096,1.49364921,1.024208798,0.798397257,0.923995127,-0.117034241,1.5860551,1.266556302,-0.42494275,1.277741024,0.722877217,1.377996902,0.891340083,1.318482179,0.400302856,1.367559869,0.598668676,1.137794885,0.787502871,0.817158358,0.626623236,0.848803255,0.415787042,0.535865836,0.064227848,0.053812292,0.004163006,0.332409147,-1.256104528,-0.454782978,-0.146019595,-0.432711519
GT_CpG_17:chr21:32024839-32025284_237006,-1.022687252,-0.058721956,-1.338877798,-1.506568371,-0.44540054,0.113350266,-1.375380101,-0.128376841,-0.638929425,-0.432104175,0.456179482,-0.188397155,0.298639813,-1.418746015,-0.31385801,-0.188457565,0.214366707,0.116575666,0.616496993,-1.065799508,0.315619556,-0.843565481,0.291943149,-0.849452368,0.001834281,-0.503661813,-0.456239359,0.286405994,-0.266598187,0.887349985,-1.37719265,-1.645423201,-0.101439928,-0.4822994,0.112847864,0.17465856,0.255020698,-1.534327209,-1.382153777,-1.437661374,-1.633177782,-1.803134248,-1.718204218,-1.820440159
GT_CpG_17:chr25:26481745-26482177_237464,-0.654601807,-0.082715941,0.10858928,0.590013834,0.902509305,0.099315316,-0.542710851,0.510122893,1.1126826,-1.097394294,1.139133642,-0.948972949,-0.851041128,-0.586214504,0.268433419,0.042601583,0.322881118,-0.052329609,-0.589611449,0.824585164,-0.143813008,0.803059635,0.796515233,-0.406465879,0.132002073,1.18800832,-0.302219656,0.550088599,-0.580165596,-0.173120643,0.151250464,1.046873984,-0.268950567,-0.041235268,-0.055592419,-0.21508254,0.061812324,1.063017797,1.262073224,1.268209951,1.237011476,1.081495979,1.218229295,1.264060487
GT_CpG_17:chr27:1293787-1294187_237819,0.087567161,1.038771435,0.475824712,-1.290873955,0.188997031,1.012376515,-0.676590054,-1.432404437,-0.008864552,-1.40094552,0.729944211,0.762837126,0.429582149,-0.111234943,0.209573279,-0.132185176,0.882967277,0.599419529,0.875926936,0.129005531,0.566015656,-0.253507592,0.111899437,-0.259469698,-0.418205307,0.448974422,0.708009153,0.777740959,0.735783613,0.055548519,0.931507951,-1.315845455,0.502314446,0.033489567,-0.111257418,0.616382311,0.528322848,-1.064836358,-0.982885855,-0.897824391,-0.972050676,-1.125370711,-1.549138652,-1.366131623
GT_CpG_17:chr28:38601438-38601844_237971,1.06089331,1.524065209,0.530834494,0.935445034,0.774494778,1.448243437,0.825381604,0.468968499,0.89426457,1.009819799,0.942323174,0.719760381,0.267384202,1.047650889,0.909093585,0.992514374,0.95867037,0.398348181,1.341747136,0.84608278,0.737191594,0.482283822,0.897541586,1.153285087,1.089518499,1.110320118,0.870600902,1.250502419,0.967200562,1.02433575,0.970967279,0.826483863,1.125934684,0.723628648,0.612472518,1.250973987,0.444188973,-0.206519871,-0.342296965,-0.344191369,-0.631057492,-1.006018503,-0.715025395,-0.537476838
GT_CpG_17:chr3:83775066-83775472_239706,-0.400599408,-0.448762064,-1.035944972,0.923544835,-0.738767259,0.787315631,-0.4768256,-1.293917355,-0.643808134,-1.357802027,0.973351035,-0.26082373,1.543688368,-0.27064741,-0.057784285,-0.793888222,0.789351919,0.043477569,-1.324738259,0.998434772,1.419675876,-0.069328911,-0.113220683,-0.50126199,-0.699472685,-1.158716158,-0.363643288,0.380593096,1.118099081,0.217492614,0.891501603,-0.344484114,-0.171352857,-0.151500795,0.137551616,0.269280536,0.190969867,1.151281673,1.335379027,1.06729869,1.340489113,1.395065276,1.11999055,1.118827949
GT_CpG_17:chr31:8189941-8190368_238831,0.329435475,0.849645345,0.566410051,0.194103827,0.822047366,0.904581229,1.115787854,-0.516311717,0.458239809,0.135720531,0.722722407,1.080947576,1.30130632,1.076879967,0.568259163,0.948504733,0.595710162,0.830130914,1.416913716,1.019353725,0.95367386,0.593859671,-0.052504738,0.19375646,1.086461011,0.901291515,0.434192183,0.642949882,0.491004736,0.784949804,0.373835793,0.590265414,0.96092782,0.567676078,1.001844765,0.507609904,0.451181018,-0.80890946,-0.157478341,-0.359763121,-0.46586565,-0.944125484,-0.926692919,-0.38357002
GT_CpG_17:chr33:30390527-30390946_238896,-0.057641559,-0.568726144,1.376082755,0.927547014,-0.058276744,-0.00426225,0.700317967,-0.268181567,-0.058129929,-0.441053686,0.496045261,-0.603818663,-0.322394226,0.173564453,0.947764223,-0.023882389,0.764022521,0.585933599,0.887976289,0.230954158,1.714947947,0.205882319,0.902308529,0.470728191,-0.170387276,1.180286405,0.151703739,0.064914572,0.927547014,1.223131567,1.028335274,0.798949691,-0.210577665,0.737844468,0.048729392,0.393320815,0.240214911,1.375620389,1.595918344,1.361198679,1.471765369,1.265079701,1.623089425,1.665892702
GT_CpG_17:chr4:38010067-38010498_239861,0.999054325,1.302255664,0.598879248,0.820712908,0.934649497,1.495319457,1.293830914,0.560370289,1.150329649,0.71167187,0.918204309,1.058346337,1.281057577,1.408071196,0.666786565,0.994751884,1.169926544,1.151673971,1.425068449,1.159931928,0.932846281,0.689126727,1.045630245,1.133528287,1.311817831,1.275010699,1.067340696,1.030513718,1.183490374,1.06764776,1.000189198,1.051011759,1.017536723,0.819966408,0.693583535,0.703565869,1.047049546,-0.230248249,0.004201205,0.067805852,-0.459556261,-0.462006701,-0.656387245,-0.452140413
GT_CpG_17:chr5:36032426-36032847_240196,-0.142543296,-0.073563557,0.050361101,0.718285806,-0.09338415,-0.378904701,0.103450876,0.274993135,-0.036873445,-0.229538702,0.175642931,-0.096720307,0.069230697,-0.11532551,0.347182893,0.248534662,0.541210493,0.410355427,-0.054295886,0.243454942,0.389833137,0.273186504,0.047546871,-0.091425767,-0.06427008,-0.000383936,0.145260431,-0.021854127,0.066528904,-0.085347068,0.330990259,0.15646149,-0.017947512,0.084989938,0.030837202,0.025487536,0.225566513,1.071495256,1.131202389,1.155319429,1.325768598,1.276965,1.194371951,1.069120805
GT_CpG_17:chr7:40399896-40400306_240852,-0.636161045,-0.366596022,1.141134118,0.690809099,-0.339533278,-0.193900841,-0.275880254,0.097471041,0.279359825,-1.065281755,0.047859563,-0.286778436,0.276154915,-0.881395803,-0.201911271,-0.029749066,0.480452482,0.709362891,-0.966627687,0.128203425,1.311861514,0.788214737,1.339673204,-0.023823579,0.019318508,0.325164222,0.589772964,-0.102895919,-0.506570431,1.165655128,0.172257803,-0.233697687,-0.383238792,-0.562202738,0.0123193,0.208135992,-0.35587902,1.288986378,1.347431325,1.145780717,1.357397355,1.434708871,1.172042733,1.002858823
GT_CpG_17:chr8:19369465-19369881_240984,0.767768079,1.038138976,1.039082213,-1.070689724,0.547420517,1.143001991,1.078722834,0.278920546,1.524601963,0.955571497,0.758734525,1.182094667,1.225684965,-0.056188541,0.630185198,0.182897746,0.812648112,1.046902503,1.214981972,0.174047872,0.899463511,0.814166955,0.383131443,1.049407529,1.271978949,0.597121675,0.858138631,0.603567321,0.876487224,0.543969892,0.038078615,0.855858166,1.06658053,0.939191482,0.661250732,0.646403538,0.751334985,-0.950883629,-0.690311334,-0.560082443,-1.396691185,-1.745985449,-1.551595945,-1.331599608
GT_CpG_17:chr9:1112338-1112764_241191,1.469234065,-0.698633377,1.450008259,1.090334963,0.477193421,-0.407900087,1.057519191,-0.924213962,-0.484009035,1.410895216,0.223985969,-1.087741468,-0.754959,-0.307969473,0.738420395,0.62993832,1.527381098,0.222801954,0.300292346,1.11094558,0.106904115,1.312982783,-0.388893699,0.62407587,-1.087125412,-0.880043392,-0.289723354,0.627811881,0.673613712,0.481913947,-0.049074445,1.333142029,-0.157557284,1.601221124,0.055948921,-0.399349836,0.002388758,1.326001558,1.397020771,1.39395661,1.44631042,1.318725209,1.472683818,1.508562943
GT_CpG_17:chr9:49947722-49948135_241443,-0.423467282,-0.834652219,0.373328463,-0.290931719,0.000419333,-0.670912076,-0.875275268,-0.47894181,-0.521873662,-0.58348807,0.015332602,-0.284851172,0.22517001,-0.094868983,-0.283241867,-0.221581123,-0.45779557,0.092014245,-0.433109352,0.186684226,0.343954811,-0.164589538,-0.016737757,-0.594968089,-0.857292467,-0.05040758,-0.279637219,-0.581565206,-0.38650262,-0.493635284,0.058357088,0.117611743,-0.067310847,-0.42061543,-0.416435416,-0.539357868,-0.314703456,0.692109501,0.674749327,0.550785002,1.159302751,0.541333703,1.14448142,1.050961693
GT_CpG_170:chr1:16944748-16946540_216729,0.927615614,0.458702416,0.578795842,-0.584634758,0.810666396,1.757284479,0.494852899,0.384647061,0.848001103,1.114980172,0.915926547,0.755971748,1.64231333,1.255016696,-0.517649778,0.767818286,0.755971748,0.437199089,1.628292118,0.844641356,0.446160562,0.486948217,0.508464173,0.7493857,0.877116649,1.196742428,1.352148129,1.274593881,0.856306887,1.573239499,0.871794485,0.435977001,1.051561404,1.11706872,0.693946987,1.531372179,1.100239044,-1.435510718,-0.833034319,-0.758600813,-1.303914612,-1.502813024,-1.012603232,-0.501293895
GT_CpG_170:chr25:26182434-26184704_217196,1.270472646,1.006899779,1.173614503,0.460235093,0.747418597,0.784720483,1.318300105,0.756368043,0.944656278,0.932254964,1.020325768,1.340100946,1.36933526,0.628812991,0.831548786,0.830558696,0.996761896,1.33519732,1.362621464,1.165302983,1.248495617,0.714755299,0.329350781,1.00966435,1.306099836,1.181648718,0.740907625,1.128710522,0.9537136,1.079306912,0.413796286,0.567551461,1.333351761,1.030170531,1.133354436,1.01858777,0.877434718,-0.476439098,0.007517251,0.019770889,-0.092919508,-1.008199461,-0.36668202,0.120741012
GT_CpG_170:chr26:7147092-7149355_217206,0.651982163,0.882525677,0.537706326,0.987931171,0.995915714,1.294200662,1.140548463,1.304996294,1.369641662,1.08105032,1.418178531,1.511067378,-1.147064182,1.243544316,0.365382555,1.436129702,1.18277902,1.360802664,1.605085819,1.175784041,0.560010418,1.037878579,1.190570588,0.535678759,1.155244069,1.169887403,1.156025194,1.201036522,1.425286034,1.630195104,0.663164465,1.203703623,1.183837181,0.781616511,1.173581532,1.31705789,1.063445737,-0.263767544,0.289837604,0.169097942,-0.16101219,-0.376596186,-0.050097028,-0.062569632
GT_CpG_170:chr5:33654746-33656296_217840,1.074364662,1.035052359,0.718193981,0.135810912,0.803160557,1.186627345,1.154878274,0.041313793,0.365961481,1.09904224,0.874967828,1.354847861,1.0854638,1.128429062,0.863036146,0.928359783,1.008946748,1.12739267,0.970027683,0.949744798,1.013721914,0.509683434,0.901579212,0.587023475,1.13598901,0.725581589,0.890316906,0.942043844,0.697785917,0.6753871,0.984182255,0.575939208,1.19463926,0.847111735,1.204280666,0.899131412,0.711367603,-0.588185782,-0.174346802,-0.17410818,-0.362088209,-1.002208912,-0.31524908,-0.064010142
GT_CpG_170:chr8:11957754-11960288_217963,0.916025934,0.791619122,1.096962405,0.473320842,0.163197804,0.935098947,1.130020556,0.494278566,0.762328542,0.455529039,1.018094078,0.777939422,1.203172091,0.797358467,0.826062142,1.046195707,0.843360859,1.159853779,0.827870869,0.499884506,0.589468376,0.641576332,0.564984396,0.506085842,1.152285309,1.167639509,0.678076858,0.834089354,0.549943673,0.281604576,0.366921908,0.619723694,0.8717488,0.568077003,0.639447687,0.577042038,0.760336579,-0.686859494,-0.39212804,-0.307685698,-0.63348173,-0.74433109,-0.798979244,-0.216076481
GT_CpG_170:chr8:15076139-15078632_218014,0.856083957,0.778479912,1.166696873,-0.048781035,0.409124261,1.23595082,0.599441746,-0.02214105,0.785544537,0.570559947,0.242970498,0.79496432,0.875916725,0.164092776,0.482966803,0.465970726,0.542293503,0.510988563,1.057892685,0.820890122,0.304651049,0.76514784,0.50692688,0.355754734,1.105920347,0.239688205,0.364659154,0.95481761,0.79704166,1.064493633,0.535738826,0.458921298,1.016476804,0.451683427,0.226203249,1.041789566,0.65576529,-0.310122207,-0.615406181,-0.380902153,-0.991659262,-0.888351568,-0.936793075,-0.813940778
GT_CpG_171:chr8:33949335-33951251_220185,1.115252408,-0.358195938,-1.561905668,0.528101758,0.521348645,-0.417896403,1.07328808,0.24466534,1.147052149,0.618153451,0.934826273,-0.820912669,0.581610998,-0.577503895,-0.417537735,0.875068665,-0.060108918,0.930985854,1.484439135,0.879655102,-1.382801311,-0.219087225,-0.671244677,0.052179604,1.098707838,0.407665347,-0.163625088,0.347952633,-0.669968549,0.380508439,-0.082000835,0.143566153,0.339119321,0.595407245,0.094511799,1.056367538,0.754874492,-1.414770409,-1.23721239,-1.517379833,-1.569220411,-1.958760153,-1.661172212,-1.578861997
GT_CpG_172:chr13:46639361-46642037_221155,1.339849299,1.233337352,0.949643613,0.894905311,0.703231842,1.329966268,1.258763695,0.914665344,1.152108204,1.219889453,1.382279429,1.135182445,1.412451362,1.240713509,1.041163854,0.967470239,0.898529856,1.178525804,1.715497338,1.240066212,1.303045172,1.188050419,1.046925926,1.110384757,0.98398073,0.941925238,1.368451178,1.298709447,1.238541996,1.108897671,1.496898675,0.558762953,1.214238938,0.669253337,0.796993635,1.125712569,1.240294405,-0.370998751,0.272283243,0.100015693,0.109029696,-1.216070462,-0.093602558,0.151550572
GT_CpG_173:chr13:47107604-47109738_222689,1.214599613,0.642491997,-0.703348726,-0.719079822,-0.572353448,1.12586399,0.741634655,-1.364950842,-0.042037205,0.244665685,1.361033494,0.858558784,0.48177038,0.676361387,0.200546991,0.953228968,0.592575223,0.712421523,1.388175635,0.673386162,-0.510740705,-0.290727333,0.085457897,0.679612229,1.035189222,-0.394642703,0.647902457,0.507671711,0.730762937,0.567888542,0.109605621,0.017447354,0.867113397,0.579439828,0.921372721,0.347601935,1.046509311,-1.12368221,-0.858565964,-0.934212452,-1.292223934,-1.099056728,-1.529597607,-1.396779894
GT_CpG_173:chr16:27581734-27583882_222923,0.011190197,1.016166756,1.123996091,-0.622916417,-0.344922185,1.25687743,1.157145335,-0.670341555,0.74576223,0.37182344,0.726779017,1.319919563,1.456285608,-0.220100058,0.97109987,0.73498636,0.576949429,1.377288265,1.370971722,0.746526692,1.357365573,-0.212600275,0.305975235,0.782772855,0.763589238,0.559642892,0.964529411,0.763770275,1.446766935,1.092519305,0.629579264,0.155985384,0.690836523,0.484123298,0.448045275,0.254021799,1.186796652,-1.022587827,-0.573150884,-0.349215669,-0.89749943,-1.278055337,-0.813092731,-0.598322048
GT_CpG_173:chr3:52420322-52422200_224037,0.473614266,0.264050952,0.866199176,0.352374493,0.095723698,0.882709189,1.148048053,0.336869133,0.461652755,0.771368181,0.302480483,0.61207507,1.020731346,0.341079352,0.91319319,0.831106822,0.922674545,0.794054207,1.257433868,1.007597767,1.067075158,0.276012695,0.292058121,0.162317144,1.050464572,0.919961161,0.285341686,0.72782916,0.810241362,0.858762111,0.446502019,0.598353737,0.979046358,0.530625409,0.772034757,0.660332841,0.780934872,-0.503402011,-0.221611563,-0.165160589,-0.314051775,-1.093069491,-0.283089387,-0.06302011
GT_CpG_173:chr34:4612043-4613555_223899,1.348375674,1.047163799,1.155319429,0.814546326,0.943592235,1.59659041,1.353746169,0.536621379,1.353475487,1.024571698,1.087389543,1.241076743,1.461860227,1.247577608,1.013859017,1.338677818,0.636823538,1.054953801,1.576428203,1.201317239,0.167244115,0.921298251,0.849645345,1.002353743,1.384706141,1.208302828,0.848945311,0.68859947,1.312167113,1.180159866,0.775268966,0.44898721,1.478481456,0.843355178,0.678807284,1.42718761,0.914786132,-0.399150055,-0.866145642,-0.515027196,-0.676946141,-1.622185331,-0.714517685,-0.032530258
GT_CpG_174:chr13:19032987-19035270_224482,1.373659324,1.301604947,1.411287585,0.799139542,0.482242175,1.50802505,1.43157912,1.028433711,1.411057271,0.947922135,1.103882739,1.507365185,1.505875763,0.988432998,0.930934994,0.459164596,1.147315828,1.338326458,1.603800494,1.498417693,0.486627931,0.606934531,0.606645386,0.894950982,1.472338537,1.002656377,0.630185198,0.956418258,1.465318,1.296389922,1.106344098,0.441248949,1.131411065,1.396578066,1.163145882,1.461798466,1.29383182,-0.382635141,-0.142800943,-0.107553406,-0.321231205,-1.125257994,-0.395585223,-0.065556671
GT_CpG_174:chr14:40347127-40349342_224536,1.145770237,1.103026989,1.334249007,0.793766094,1.148834909,1.135137987,0.969888052,0.718857303,1.049257246,1.121276667,0.966662464,1.051398844,1.016252137,0.838025972,1.051807364,1.081065512,0.756929619,0.545338193,1.392586698,1.195022614,1.015221773,0.953914113,0.987439997,1.357282058,1.358009928,1.250683747,0.900167179,1.057913002,0.612675475,1.319517525,0.846129817,0.710145201,0.831720398,1.088677888,1.306601516,1.14258128,0.429641836,-0.207238389,-0.137315094,-0.18988443,-0.143079434,-0.376636675,-0.458884153,-0.331204238
GT_CpG_174:chr9:24887923-24889972_226413,0.193408336,0.222672909,-0.530982184,-0.728470603,0.223287288,0.342801032,0.901524316,-1.631506953,0.19772467,-1.612258416,-0.490222925,-0.426758695,-0.072493358,-0.141657748,-0.901141913,-0.780824935,-0.45616754,0.467599978,0.464142725,0.3784318,0.090876476,-0.851439103,-0.870583108,-0.67848923,0.739291638,0.418893924,-0.66439213,-0.430522871,0.312782849,0.731449265,-1.094740686,-1.349733285,-0.466261635,0.220003823,-0.562409464,-0.417244269,0.440183782,-1.167672195,-1.084476034,-1.257069002,-1.924220126,-1.704012207,-1.937079551,-1.88084649
GT_CpG_175:chr31:21613070-21615031_228500,0.358096956,0.228836939,-1.188693993,-0.289093004,-0.776554029,-1.314579538,0.806861576,-1.190061116,0.316920936,-0.141610923,-0.434907626,0.431441711,-0.369780359,0.808128093,0.240958306,0.593980288,-1.329268918,0.236901949,1.593349872,0.687509698,-1.936204263,0.359553425,0.403528387,0.645077892,0.652414274,0.11884688,0.816835339,0.739935228,-0.257624046,0.363001206,0.043862687,-1.097836903,1.542238189,0.868572056,1.199700794,0.780984894,0.817020233,-1.304807112,-1.188421942,-1.275414642,-1.431367312,-1.20330872,-1.488077303,-1.316517642
GT_CpG_175:chr4:10405039-10406737_228787,0.070410976,0.298804269,-0.95189636,-1.142308887,-0.793440679,1.365971115,0.937076193,0.146971687,-0.173838346,-0.852949413,1.180922351,0.382245621,-0.089392711,0.702999008,0.541156242,0.282994174,0.008788354,0.824356289,-0.767956984,-0.049577983,0.315134171,-2.042946078,0.032803133,0.45473329,0.100671089,-0.513806901,0.020735673,0.210257144,0.748024101,0.118526728,0.449963689,-1.402403928,0.614978098,0.276014156,-0.527159619,1.052524365,0.26534378,-1.816707664,-1.754783289,-1.335265864,-1.155662165,-1.927475647,-1.436693206,-1.277046237
GT_CpG_175:chr5:66348772-66350511_228950,1.214869163,1.192957903,1.22773227,0.096647286,0.121069454,0.906639474,1.369119275,0.957382539,1.162007641,0.492247791,1.209209979,1.502115494,1.405280379,0.980776607,0.957123588,1.537187444,1.161738796,1.317704205,1.670249132,1.152956635,0.771750221,0.78858915,0.914665344,0.768014604,0.612921877,1.162857936,0.680377871,0.905786895,1.680643764,1.064648503,0.845832492,1.178311948,0.724550407,0.425084718,1.036772592,1.292436089,0.898606624,-0.525249738,0.497937676,0.163754138,0.133783317,-1.064941474,-0.093618157,0.534835372
GT_CpG_176:chr12:57802769-57804596_229373,1.178150087,1.469925361,1.20986001,1.00665098,1.030519814,1.483415403,1.353191415,1.086256527,1.479336211,1.273559095,1.085919286,1.199970759,1.402376576,1.195903232,1.161255328,1.159625847,1.15951357,1.208816269,1.125970492,1.288317032,1.150865616,0.998497393,0.911982142,1.115805612,1.439675814,0.968547743,1.044086421,1.204227792,1.131018366,0.643440572,1.122045417,0.771816195,1.306371652,1.233282005,1.299475717,1.231562351,0.921000639,-0.173839966,-0.513447068,0.064058066,-0.435068964,-0.951595541,-0.194297593,-0.029073329
GT_CpG_176:chr21:39313095-39315696_229701,0.411468558,0.385366693,0.094660108,-0.462429713,0.069029271,0.213978275,0.630845002,-0.610659986,0.115350155,0.026226063,-0.686081157,0.2110211,-1.415437822,-0.22485132,-0.266471973,0.369912664,-0.444248033,1.021352942,0.7368118,0.223462682,-2.079640931,0.332517763,0.165735689,-0.000814801,0.466648777,0.386052081,-0.142761224,-0.256790157,-0.383274427,0.191360891,-0.720861958,-0.668955188,0.231086846,0.128284529,-0.300744675,0.428134307,0.511826613,-2.106602759,-1.54605205,-1.837935232,-2.151700961,-2.778455554,-2.332057619,-2.106577725
GT_CpG_176:chr5:77242560-77244582_230157,1.550779389,1.57855615,1.443259282,1.248183796,1.611622883,1.780696748,1.273911604,1.378373411,1.733784408,1.642966252,1.34842652,1.7554738,1.521324452,1.597693563,1.523688761,1.568187652,1.366241131,1.31180129,1.63540875,1.356694125,1.259955836,1.385174989,1.223717436,1.539703776,1.473094626,1.501793332,1.218349122,1.599509954,1.599392865,1.620705122,1.237995237,1.132690692,1.499227833,1.362947499,1.114873912,1.555587873,1.404148849,0.052612899,0.72745689,-0.134684213,-0.039207896,-0.498419113,0.121554386,0.275436043
GT_CpG_177:chr21:33977841-33980068_230751,0.84112276,0.256728065,1.479427814,-0.101351426,0.894950982,0.862472377,1.222846253,0.480650448,1.214796748,0.873751056,0.974678989,1.141845639,1.658366611,1.080516212,0.763346198,0.863151029,0.943209056,1.43134168,1.505209468,1.092482969,0.990194903,0.818656031,0.812883461,1.104113427,1.082154973,0.933342077,1.177091357,0.719491237,1.266069093,0.826098729,1.072594668,0.552417613,1.238491097,0.713079439,1.052791878,0.450892667,1.066638838,-0.466776717,-0.101351426,0.224188848,-0.399773225,-1.434601153,-0.458470515,0.211487746
GT_CpG_177:chr3:14254217-14256659_231280,1.341521337,1.398085838,1.457449855,0.833302672,1.114797935,1.379767398,1.20262635,1.268856198,1.463083351,1.506974811,1.118219819,1.033490818,0.924773373,1.366815729,0.986338019,1.364665251,1.135741686,0.924201309,1.708853911,0.994219946,1.224171447,1.095069546,1.185993503,1.380162109,1.337053803,1.193770472,1.276200786,1.435853465,1.146673592,1.53483064,1.146020829,0.846322195,1.435046508,1.16277941,1.391194481,1.525429231,1.080886591,-0.224634229,0.123040943,0.553833245,-0.818185099,-0.31963953,-0.212494203,-0.266582113
GT_CpG_177:chr37:25567751-25569944_231265,0.864631106,0.529980057,-0.647157824,-0.860298706,-0.443487402,-0.912667205,0.909225534,-1.64684299,0.366442732,-1.174958899,-1.224494518,0.38829677,0.354587541,-0.269992512,-1.457345473,0.445507514,-1.310105256,1.235565566,0.393791648,-0.965497007,-1.275086425,-0.675868655,-0.692430709,0.225743939,0.260785441,-0.180246151,-0.738681023,0.112803071,-0.249544232,0.064718807,0.338869116,-0.71770462,-1.007904009,-1.091651038,0.416743257,0.464718318,0.685408313,-1.56703726,-1.255067802,-1.353084489,-1.278540085,-1.66561763,-1.397235582,-1.090349805
GT_CpG_177:chr8:63704993-63707197_231447,0.370989625,0.496285078,1.161004598,-0.018117786,0.71600061,1.364726217,0.721258631,0.276976506,0.488884881,0.488884881,0.545082973,0.386644333,0.96381483,-0.265983365,-0.158965924,1.114583869,0.139031926,0.518163531,1.379977468,0.374990947,0.376468229,0.415279752,0.376069213,0.894851966,0.751208027,0.842556802,0.495989869,0.927741899,0.788949171,0.292444802,0.346581307,-0.17627109,0.430304456,0.78657233,0.776517449,0.943908064,0.381596209,-0.604254688,-0.254549127,-0.095119491,-0.864531027,-0.753295689,-0.672923814,-0.500162131
GT_CpG_178:chr22:45498556-45501292_232132,1.316506436,1.235575474,1.355338158,0.322423817,0.88547241,1.248983559,1.201635011,0.888546451,1.325103059,0.959529324,1.056892834,1.325316378,1.283938386,0.908614047,1.003198462,1.148183179,0.971251609,1.345289297,1.349266618,1.122681262,1.001605694,0.714470902,0.865292798,0.977338777,1.157146457,0.964791683,0.989637164,1.096900508,0.9430997,0.738250845,1.019658033,0.906400694,1.117161619,1.126724321,1.158681182,0.952366851,0.852954613,-0.044963361,-0.021173987,0.112149371,-0.37541315,-0.782100084,-0.556465493,0.027256632
GT_CpG_178:chr4:68013472-68015355_232837,0.901467986,1.158548481,0.332056781,0.352724021,1.309492503,1.440582896,0.74024584,-0.073132098,0.762285798,0.428956783,0.72070163,1.022175569,0.655519189,1.05735043,1.002909677,0.934666697,0.038121878,0.553602873,1.350420365,1.114475747,-0.024531505,0.996104389,0.770652877,0.844839203,1.131366309,0.906177872,1.061504173,0.704101128,0.389931219,-0.158523192,0.696467702,0.372146576,1.036507103,1.345688623,1.455448347,1.439498949,0.641341449,-0.539028513,-0.248095603,-0.458610264,-1.075004766,-0.498704874,-1.641107176,-1.418695758
GT_CpG_179:chr18:48412653-48414686_233405,1.10062325,1.506661859,1.811939044,0.058537049,0.49300328,1.386638385,1.668620843,-0.388288312,1.67755387,1.575920641,1.458738849,1.662106106,1.749617145,0.76766725,1.197728968,1.834665292,0.627890986,1.433156183,1.800109019,1.211936267,0.63200697,0.748577631,-0.007169675,1.548099695,1.464535084,1.176161163,1.13635378,1.085424521,1.583700925,1.61281857,1.086880214,0.558587378,1.202182286,1.464614813,0.998076234,1.519423354,1.324798333,-0.946888504,-0.299537182,0.1636493,-0.409884713,-1.547683725,-0.420340905,0.016689565
GT_CpG_179:chr25:11853224-11855565_233643,0.90683352,1.406129793,1.017193006,0.152406033,1.300209074,1.149971754,1.290580021,1.155073189,1.397697373,1.032617649,1.082417969,1.18444381,1.285338064,0.946273593,1.051530917,1.357841374,1.037130891,1.232325658,1.560900735,1.284750169,1.128804846,1.251137287,1.109410186,1.129253962,1.396150818,1.336462714,1.013358952,1.192279672,1.140305359,1.360540717,1.035234022,0.921572424,1.252631131,1.254065984,1.034272209,1.283523889,0.984768036,0.10361825,0.37119427,0.416413017,-0.014943142,-0.598158476,0.185833509,0.413189629
